Fp1-AV,F7-AV,T3-AV,T5-AV,F3-AV,C3-AV,P3-AV,O1-AV,Fp2-AV,F8-AV,T4-AV,T6-AV,F4-AV,C4-AV,P4-AV,O2-AV,Fz-AV,Cz-AV,Pz-AV,A1-AV,A2-AV
-131.08,-81.23,156.82,163.36,-202.58,-193.4,-155.43,155.06,-131.25,-67.74,70.32,168.09,-13.44,114.72,52.0,101.95,51.34,121.65,-378.85,139.87,60.42
-144.41,-107.8,126.31,161.88,-179.82,-106.71,-78.01,178.3,-152.77,-107.65,45.35,147.28,-37.36,82.79,38.84,105.0,66.76,90.07,-279.74,139.4,11.43
-146.06,-80.78,89.34,112.04,-106.96,15.2,33.8,116.47,-171.15,-151.54,4.82,99.37,-81.63,43.12,13.27,76.44,75.86,54.85,-107.24,150.54,-38.97
-149.36,-28.06,45.74,3.95,-3.48,181.71,173.87,1.23,-191.39,-201.63,-39.09,47.81,-137.17,1.34,-14.99,42.17,77.79,20.22,106.36,147.86,-85.18
-146.21,14.03,29.2,-43.77,62.57,253.19,267.53,-6.97,-222.63,-240.71,-63.56,9.71,-181.1,-32.61,-41.73,36.48,50.15,-0.76,266.72,123.75,-132.8
-149.8,40.29,40.94,-36.8,94.22,246.74,290.75,32.77,-251.36,-247.3,-80.47,-5.17,-196.79,-43.45,-55.74,50.13,14.08,-2.12,310.42,105.42,-156.26
-149.47,49.33,67.74,-2.76,67.18,154.78,216.79,94.23,-238.77,-208.6,-77.89,25.29,-166.26,-17.76,-40.71,89.26,-6.18,23.93,159.4,94.9,-135.22
-144.95,33.85,78.58,52.27,3.61,39.43,101.0,126.29,-207.43,-150.5,-34.06,81.63,-119.22,20.28,-19.42,124.57,-9.27,58.82,-46.29,95.55,-83.86
-131.97,6.26,116.68,115.19,-79.31,-97.43,-41.65,124.14,-160.16,-86.48,39.08,134.82,-52.93,71.08,0.68,134.82,7.36,100.24,-263.15,108.59,-45.17
-123.64,-35.03,142.97,152.3,-152.42,-170.93,-132.33,133.02,-128.66,-57.82,94.76,173.4,-14.11,102.98,18.82,152.61,38.53,123.1,-419.62,131.89,-29.81
-121.41,-79.12,148.14,180.54,-190.21,-174.29,-150.24,132.3,-119.87,-64.43,97.65,188.25,-10.04,110.9,26.33,163.1,69.92,125.36,-420.0,163.84,-33.65
